Project;                    Version;                License;                        License link;                                                                                               Website;                                                                                                                Development
conda-build;                3.13.0;                 BSD-3-Clause;                   `License <https://github.com/conda/conda-build/blob/3.13.0/LICENSE.txt>`__;                                 `Website <https://github.com/conda/conda-build>`__;                                                                     `Dev <https://github.com/conda/conda-build>`__
conda-env;                  02.06.2000;             BSD-3-Clause;                   `License <https://github.com/conda/conda-env/blob/develop/LICENSE.txt>`__;                                  `Website <https://github.com/conda/conda-env>`__;                                                                       `Dev <https://github.com/conda/conda-env>`__
console_shortcut;           0.1.1;                  N/A;                            N/A;                                                                                                        `Website <https://anaconda.org/anaconda/console_shortcut>`__;                                                           N/A
cpplint;                    01.03.2000;             BSD-3-Clause;                   `License <https://github.com/cpplint/cpplint/blob/1.3.0/LICENSE>`__;                                        `Website <https://github.com/cpplint/cpplint>`__;                                                                       `Dev <https://github.com/cpplint/cpplint>`__
cryptography;               02.03.2001;             Apache-2.0;                     `License <https://github.com/pyca/cryptography/blob/2.3.1/LICENSE>`__;                                      `Website <https://cryptography.io/en/latest/>`__;                                                                       `Dev <https://github.com/pyca/cryptography>`__
docutils;                   0.14;Public             Domain;                         `License <https://sourceforge.net/p/docutils/code/HEAD/tree/trunk/docutils/COPYING.txt>`__;                 `Website <http://docutils.sourceforge.net/>`__;                                                                         `Dev <https://sourceforge.net/projects/docutils/>`__
doxygen;                    01.08.2014;             GPL-2.0;                        `License <https://github.com/doxygen/doxygen/blob/Release_1_8_14/LICENSE>`__;                               `Website <http://www.doxygen.nl/>`__;                                                                                   `Dev <https://github.com/doxygen/doxygen>`__
Eclipse CDT;                see [1]_;               EPL;                            `License <https://www.eclipse.org/legal/epl-2.0/>`__;                                                       `Website <https://www.eclipse.org/cdt/>`__;                                                                             `Dev <https://git.eclipse.org/c/cdt/org.eclipse.cdt.git>`__
filelock;                   3.0.6;                  Unlicense;                      `License <https://github.com/benediktschmitt/py-filelock/blob/v3.0.6/LICENSE.rst>`__;                       `Website <https://github.com/benediktschmitt/py-filelock>`__;                                                           `Dev <https://github.com/benediktschmitt/py-filelock>`__
flake8;                     03.05.2000;             MIT;                            `License <https://gitlab.com/pycqa/flake8/blob/3.5.0/LICENSE>`__;                                           `Website <https://gitlab.com/pycqa/flake8>`__;                                                                          `Dev <https://gitlab.com/pycqa/flake8>`__
FreeRTOS;                   >10;                    MIT;                            `License <https://www.freertos.org/a00114.html>`__;                                                         `Website <https://www.freertos.org/index.html>`__;                                                                      `Dev <https://sourceforge.net/projects/freertos/>`__
future;                     0.16.0;                 MIT;                            `License <http://python-future.org/credits.html>`__;                                                        `Website <https://python-future.org/>`__;                                                                               `Dev <https://github.com/PythonCharmers/python-future>`__
gcc-arm-none-eabi;          4.9.2015. q2.20150609;  see [2]_;                       see [3]_;                                                                                                   `Website <https://developer.arm.com/tools-and-software/open-source-software/developer-tools/gnu-toolchain/gnu-rm>`__;   `Dev <https://launchpad.net/gcc-arm-embedded>`__
git;                        2.18.0;                 GPL-2.0;                        `License <https://github.com/git-for-windows/git/blob/master/COPYING>`__;                                   `Website <https://git-scm.com>`__;                                                                                      `Dev <https://github.com/git-for-windows/git>`__
gitdb2;                     2.0.4;                  BSD-3-Clause;                   `License <https://github.com/gitpython-developers/gitdb/blob/2.0.4/LICENSE>`__;                             `Website <https://github.com/gitpython-developers/gitdb>`__;                                                            `Dev <https://github.com/gitpython-developers/gitdb>`__
gitpython;                  02.01.2011;             BSD-3-Clause;                   `License <https://github.com/gitpython-developers/GitPython/blob/2.1.11/LICENSE>`__;                        `Website <https://github.com/gitpython-developers/GitPython>`__;                                                        `Dev <https://github.com/gitpython-developers/GitPython>`__
glob2;                      0.6;                    BSD-2-Clause;                   `License <https://github.com/miracle2k/python-glob2/blob/0.6/LICENSE>`__;                                   `Website <https://github.com/miracle2k/python-glob2>`__;                                                                `Dev <https://github.com/miracle2k/python-glob2>`__
